Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1590,PS1959,Tissue - whole body,,Surf smelt,108,10.7,,Protection Island,48.1278714,-122.9262842,Load 73 #1,2004-08-03 00:00:00,1.002,wet,0,54.2064589817591,23.7968592956916,5.77513285778066,16.2215488647685,117.775254834177,< 0.39,< 0.41,< 0.41,< 0.39,< 0.39,< 0.40,< 0.41,< 0.39,< 0.39,< 0.40,< 0.39,< 0.40,< 0.40,< 0.39,0.82,< 0.40,0.11,< 0.40,0.43,0.35,< 0.39,< 0.40,< 0.39,0.43,< 0.39,< 0.39,< 0.40,< 0.099,< 0.40,0.55,< 0.39,0.73,0.22,0.68,0.55,< 0.40,0.86,0.5,< 0.40,1,< 0.10,< 0.39,< 0.39,< 0.40,< 0.40,< 0.40,< 0.39,< 0.40,< 0.40,< 0.40,< 0.40,< 0.30,< 0.40,< 0.40,< 0.40,< 0.40,< 0.39,< 0.39,< 0.39,< 0.40,0.82,< 0.39,< LOQ,0.82,< LOQ,6.4,< 0.94,1.2,< 0.94,< 0.94,< 0.94,< 0.94,< 0.94,< 0.94,< 0.94,< 0.93,< 0.94,< 0.94,< 0.94,< 0.95,< 0.95,1.2,,Row 112 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1319,PS1955,Tissue - whole body,,Northern anchovy,133,22.9,,Tatoosh Island,48.3931168,-124.7380236,Load 40 #1,2005-07-16 00:00:00,2.041,wet,0,64.3259691740939,13.8091254045791,2.77613453706052,19.0887708842664,110.072083698298,0.39,0.54,0.48,0.22,0.19,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.25,< 0.15,0.16,< 0.15,< 0.15,0.044,< 0.15,< 0.15,0.12,< 0.15,< 0.15,< 0.15,0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,0.18,0.16,0.36,0.11,0.28,0.31,< 0.15,0.55,0.39,< 0.15,0.82,< 0.037,< 0.15,< 0.15,< 0.15,< 0.15,0.29,< 0.15,0.25,< 0.15,< 0.15,< 0.15,0.12,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.38,4.2,< 0.15,0.45,4.6,1.2,4.2,< 0.33,0.46,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,0.46,,Row 113 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1320,PS1955,Tissue - whole body,,Northern anchovy,131,21.3,,Tatoosh Island,48.3931168,-124.7380236,Load 41 #1,2005-07-16 00:00:00,2.01,wet,0,65.2679882151546,14.3795642601418,5.20447372088376,15.1479738038197,110.866413201479,0.49,0.46,0.43,< 0.16,0.3,< 0.17,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,0.37,< 0.16,0.22,< 0.16,< 0.16,0.043,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,0.23,< 0.16,< 0.16,< 0.17,< 0.041,0.19,0.27,0.25,0.46,0.15,0.36,0.36,< 0.17,0.73,0.47,< 0.17,0.95,< 0.041,< 0.16,< 0.16,< 0.16,< 0.17,0.27,< 0.16,0.27,< 0.17,< 0.17,< 0.17,0.14,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,1.1,5.5,0.31,0.67,6.8,0.88,5.2,< 0.37,0.7,< 0.37,< 0.37,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,0.7,,Row 114 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1321,PS1955,Tissue - whole body,,Northern anchovy,129,22.9,,Tatoosh Island,48.3931168,-124.7380236,Load 44 #1,2005-07-16 00:00:00,2.029,wet,0,64.4286951365634,12.8142621482299,2.82428900658636,19.9327537086201,108.528904885174,0.47,0.86,0.7,< 0.16,0.19,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,0.23,< 0.17,0.3,< 0.17,< 0.17,0.047,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.041,< 0.17,0.14,< 0.17,0.28,0.1,0.24,0.25,< 0.17,0.46,0.31,< 0.17,0.62,< 0.042,< 0.17,< 0.17,< 0.17,< 0.17,0.19,< 0.17,0.18,< 0.17,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.16,< 0.17,< 0.16,0.21,3.2,< 0.16,0.42,3.4,1.6,2.8,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< LOQ,,Row 115 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1322,PS1955,Tissue - whole body,original,Northern anchovy,127,20,,Tatoosh Island,48.3931168,-124.7380236,Load 47 #1,2005-07-17 00:00:00,1.977,wet,0,62.3937879428301,18.4585513002373,4.67538166422659,14.4722790927059,113.570058715432,0.39,0.6,0.46,< 0.14,0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.17,< 0.14,0.19,< 0.14,< 0.14,0.047,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.035,< 0.14,0.13,< 0.14,0.21,0.083,0.19,0.21,< 0.14,0.33,0.22,< 0.14,0.46,< 0.035,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.32,1.8,< 0.14,0.32,2.1,1.1,1.9,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< LOQ,Homogenate was more salmon-like in color and texture than the other anchovy homogenates in the set.,Row 116 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1323,PS1955,Tissue - whole body,,Chinook salmon,96,10.6,Yes,Protection Island,48.1278714,-122.9262842,Load 2 #1,2005-06-29 00:00:00,2.043,wet,5.43280945249717,0,60.9805348978716,21.1665489744726,12.4201066751584,112.676076444746,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,0.03,< 0.11,< 0.11,0.082,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.027,< 0.11,0.12,0.13,0.22,0.078,0.19,0.22,< 0.11,0.43,0.2,< 0.11,0.5,< 0.027,< 0.11,< 0.11,< 0.11,< 0.11,0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.081,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,1.2,< 0.11,< LOQ,1.2,< LOQ,2.3,< 0.24,0.33,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,0.33,,Row 117 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1324,PS1955,Tissue - whole body,,Chinook salmon,85,8.3,Yes,Protection Island,48.1278714,-122.9262842,Load 18 #2,2005-06-29 00:00:00,2.021,wet,1.78867192925722,10.2926199286559,51.1368553162219,22.8897970269586,13.8920557989063,111.807044679102,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,0.18,0.16,< 0.13,< 0.13,< 0.13,< 0.13,0.04,< 0.13,< 0.13,0.11,< 0.13,< 0.13,< 0.13,0.15,< 0.13,0.15,< 0.13,0.044,0.18,0.21,0.27,0.43,0.18,0.36,0.5,< 0.14,0.91,0.34,< 0.14,1.1,< 0.034,< 0.13,< 0.13,< 0.13,< 0.13,0.26,< 0.13,0.17,< 0.13,< 0.13,< 0.13,< 0.10,< 0.13,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.15,2.2,< 0.13,0.34,2.4,< LOQ,5.4,< 0.30,0.55,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,0.55,Sample used up.,Row 118 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1325,PS1955,Tissue - whole body,,Chinook salmon,68,4.4,No,Protection Island,48.1278714,-122.9262842,Load 26 #1,2005-06-29 00:00:00,2.034,wet,3.13918444835574,2.53159484951351,64.4373799792106,19.6312428680401,10.2605978548799,110.309852327625,< 0.14,< 0.15,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.036,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.035,< 0.14,0.11,0.23,0.31,0.13,0.2,0.4,< 0.14,0.93,0.25,< 0.14,1.2,< 0.036,< 0.14,< 0.14,< 0.14,< 0.14,0.27,< 0.14,0.24,< 0.14,< 0.14,< 0.14,0.12,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,2.2,< 0.14,0.14,2.2,< LOQ,4.5,< 0.31,0.95,< 0.31,< 0.31,< 0.31,0.98,0.35,< 0.31,< 0.31,< 0.31,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,2.3,Sample used up.,Row 119 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1326,PS1955,Tissue - whole body,,Chinook salmon,68,4.1,No,Protection Island,48.1278714,-122.9262842,Load 26 #2,2005-06-29 00:00:00,2.019,wet,.80127310201154,0,63.1757577927076,21.6673176226555,14.3556514826253,109.969968143101,0.18,< 0.13,< 0.13,< 0.12,< 0.12,< 0.13,< 0.13,< 0.12,< 0.12,< 0.12,0.32,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.032,< 0.12,< 0.12,< 0.093,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.031,< 0.12,0.11,0.18,0.24,0.11,0.21,0.32,< 0.12,0.65,0.23,< 0.12,0.79,< 0.031,< 0.12,< 0.12,< 0.12,< 0.12,0.22,< 0.12,0.16,< 0.12,< 0.12,< 0.12,0.11,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,2.3,< 0.12,0.32,2.3,< LOQ,3.4,< 0.27,0.9,< 0.27,< 0.27,< 0.27,0.91,0.33,< 0.27,< 0.27,< 0.27,< 0.27,< 0.27,< 0.27,< 0.28,< 0.28,2.1,Sample used up.,Row 120 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1327,PS1955,Tissue - whole body,,Chinook salmon,87,9.5,Yes,Tatoosh Island,48.3931168,-124.7380236,Load 1 #1,2005-06-26 00:00:00,2.031,wet,3.34023832411145,14.8021304405079,53.3062793755147,16.7351217310323,11.8162301288335,112.092398401138,< 0.16,< 0.17,< 0.17,0.17,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.17,0.35,< 0.17,< 0.17,< 0.16,< 0.17,< 0.17,< 0.041,< 0.17,< 0.17,< 0.12,< 0.16,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.041,< 0.17,0.12,< 0.16,0.2,0.084,0.17,0.2,< 0.17,0.4,0.23,< 0.17,0.49,< 0.042,< 0.17,< 0.16,< 0.17,< 0.17,< 0.17,< 0.16,< 0.17,< 0.17,< 0.17,< 0.17,< 0.12,< 0.17,< 0.17,< 0.17,< 0.17,< 0.16,< 0.16,< 0.16,0.3,2.2,< 0.16,0.35,2.5,0.17,1.9,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< LOQ,,Row 121 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
